filename,overall_entropy,entropy_text,max_section_entropy,packer_detected,section_name_anomaly,num_imports,virtual_size_discrepancy,_pack_indicators
4475_Microsoft.Workflow.Compiler.exe,6.5463,5.881588,5.881588,0,0,1,1,2
2682_xdcmake.exe,6.283239,4.869478,5.855681,0,0,1,1,2
4483_SMSvcHost.exe,5.97619,5.811419,5.811419,0,0,1,1,2
4485_WsatConfig.exe,5.806477,5.637147,5.637147,0,0,1,1,2
4487_sapisvr.exe,2.467574,4.089629,4.089629,0,1,60,1,2
1229_gencnval.exe,6.239287,6.479893,6.479893,0,1,93,1,2
1830_crashdumper.exe,6.055546,6.234454,6.234454,0,1,121,1,2
1829_uninstallanchorservice.exe,6.205517,5.965937,5.965937,0,1,51,1,2
1828_tabquerytool.exe,5.847341,5.513612,5.513612,0,1,43,1,2
1827_tabprotosrv.exe,6.018735,6.183424,6.183424,0,1,613,1,2
1826_tableau.exe,5.962232,6.056154,6.056154,0,1,678,1,2
1825_tabcrashreporter.exe,6.148121,6.219624,6.219624,0,1,676,1,2
4488_agentactivationruntimestarter.exe,2.488174,4.220612,4.220612,0,1,48,1,2
2664_xdcmake.exe,6.286943,4.865282,5.860325,0,0,1,1,2
2646_xdcmake.exe,6.286943,4.865282,5.860325,0,0,1,1,2
4497_AppInstallerBackgroundUpdate.exe,5.299661,5.814037,5.814037,0,1,91,1,2
4501_ApproveChildRequest.exe,6.367671,5.973814,7.29136,0,1,158,0,2
1832_hyperdstarter.exe,6.030659,6.203781,6.203781,0,1,100,1,2
1233_gensprep.exe,6.211369,6.463117,6.463117,0,1,103,1,2
1237_makeconv.exe,6.213434,6.351069,6.351069,0,1,123,1,2
4507_ARP.EXE,3.591432,5.533311,5.533311,0,1,71,1,2
2612_csi.exe,6.81565,5.844795,5.844795,0,0,1,1,2
2613_vbc.exe,6.293287,5.991503,5.991503,0,0,1,1,2
2614_VBCSCompiler.exe,6.199229,6.078136,6.078136,0,0,1,1,2
2615_FxCopCmd.exe,5.998298,5.75108,5.75108,0,0,1,1,2
2616_vcredist_x64.exe,7.99711,6.57514,6.748279,0,1,237,0,2
2617_vcredist_x86.exe,7.995073,6.57514,6.748279,0,1,237,0,2
2618_vc_redist.x64.exe,7.99711,6.57514,6.748279,0,1,237,0,2
2619_vc_redist.x86.exe,7.995073,6.57514,6.748279,0,1,237,0,2
2620_vcredist_x64.exe,7.99711,6.57514,6.748279,0,1,237,0,2
2621_vcredist_x86.exe,7.995073,6.57514,6.748279,0,1,237,0,2
2622_vc_redist.x64.exe,7.99711,6.57514,6.748279,0,1,237,0,2
2623_vc_redist.x86.exe,7.995073,6.57514,6.748279,0,1,237,0,2
4007_alembic.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4008_anaconda-navigator.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4009_anaconda-project.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4010_anaconda.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4012_automat-visualize.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4014_binstar.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4015_black.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4016_blackd.exe,6.029285,6.064655,6.064655,0,1,104,1,2
1843_MpDefenderCoreService.exe,6.45037,6.444869,6.444869,0,1,325,1,2
1841_MpCmdRun.exe,6.327,6.465085,6.465085,0,1,353,1,2
1835_tabprotosrv.exe,6.492732,6.408795,6.481312,0,1,555,1,2
4017_bokeh.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4018_cftp.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4019_chardetect.exe,6.029285,6.064655,6.064655,0,1,104,1,2
4020_ckeygen.exe,6.029285,6.064655,6.064655,0,1,104,1,2
